y,d,s,c,g,e1n,e1r,e2n,e2r,e3n,e3r,e4n,e4r,e5n,e5r,m1n,m1r,m2n,m2r,m3n,m3r,m4n,m4r,m5n,m5r,s1n,s1r,s2n,s2r,s3n,s3r,s4n,s4r,s5n,s5r,sc1n,sc1r,sc2n,sc2r,sc3n,sc3r,sc4n,sc4r,sc5n,sc5r,epn,epr,spn,spr,mpn,mpr,scpn,scpr
1718,58,0271,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0291,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0293,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0381,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0451,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0461,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0471,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0491,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0501,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,1211,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,1231,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,1241,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,1251,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,1261,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,6,60,3,30,1,10,0,0,0,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,10,*,*
1718,58,1271,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,1282,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,1291,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,1341,Homeless,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0000,Hispanic,Race,890,17.6,1330,26.2,1341,26.5,1014,20,494,9.7,809,16.9,894,18.7,1447,30.3,959,20.1,669,14,119,11.4,166,15.9,291,27.8,240,22.9,231,22.1,267,14.8,469,25.9,590,32.6,271,15,211,11.7,2849,56.2,762,72.8,3075,64.4,1072,59.3
1718,58,0012,Hispanic,Race,16,12.3,33,25.4,41,31.5,34,26.2,6,4.6,13,10,23,17.7,35,26.9,35,26.9,24,18.5,*,*,*,*,*,*,*,*,*,*,6,16.2,7,18.9,14,37.8,7,18.9,3,8.1,81,62.3,*,*,94,72.3,24,64.9
1718,58,0021,Hispanic,Race,0,0,1,0.7,11,8.1,47,34.6,77,56.6,0,0,0,0,3,2.8,31,28.7,74,68.5,0,0,0,0,1,3.3,2,6.7,27,90,0,0,1,1.8,11,20,16,29.1,27,49.1,135,99.3,30,100,108,100,54,98.2
1718,58,0031,Hispanic,Race,22,13.7,31,19.3,35,21.7,35,21.7,38,23.6,15,9.3,20,12.4,40,24.8,34,21.1,52,32.3,1,1.8,7,12.5,11,19.6,18,32.1,19,33.9,3,5.8,13,25,16,30.8,11,21.2,9,17.3,108,67.1,48,85.7,126,78.3,36,69.2
1718,58,0051,Hispanic,Race,65,26.7,66,27.2,50,20.6,49,20.2,13,5.3,55,30.1,42,23,60,32.8,18,9.8,8,4.4,16,15.4,15,14.4,34,32.7,27,26,12,11.5,6,5.5,30,27.3,50,45.5,16,14.5,8,7.3,112,46.1,73,70.2,86,47,74,67.3
1718,58,0071,Hispanic,Race,3,6.7,8,17.8,21,46.7,10,22.2,3,6.7,3,6.7,5,11.1,14,31.1,16,35.6,7,15.6,*,*,*,*,*,*,*,*,*,*,1,6.3,4,25,8,50,2,12.5,1,6.3,34,75.6,*,*,37,82.2,11,68.8
1718,58,0074,Hispanic,Race,76,24.1,109,34.6,62,19.7,50,15.9,18,5.7,78,27.3,64,22.4,90,31.5,34,11.9,20,7,7,7.1,26,26.3,32,32.3,21,21.2,13,13.1,21,17.9,47,40.2,32,27.4,9,7.7,8,6.8,130,41.3,66,66.7,144,50.3,49,41.9
1718,58,0081,Hispanic,Race,24,17.9,41,30.6,47,35.1,21,15.7,1,0.7,42,31.1,38,28.1,39,28.9,13,9.6,3,2.2,1,4.3,6,26.1,10,43.5,4,17.4,2,8.7,11,25.6,19,44.2,9,20.9,2,4.7,2,4.7,69,51.5,16,69.6,55,40.7,13,30.2
1718,58,0083,Hispanic,Race,22,11.8,34,18.3,51,27.4,52,28,27,14.5,15,8.1,33,17.7,59,31.7,54,29,25,13.4,0,0,3,4.4,6,8.8,23,33.8,36,52.9,6,8.8,13,19.1,21,30.9,17,25,11,16.2,130,69.9,65,95.6,138,74.2,49,72.1
1718,58,0084,Hispanic,Race,53,23.1,83,36.2,48,21,38,16.6,7,3.1,43,19.1,28,12.4,90,40,49,21.8,15,6.7,7,11.1,10,15.9,15,23.8,18,28.6,13,20.6,16,23.5,23,33.8,17,25,12,17.6,0,0,93,40.6,46,73,154,68.4,29,42.6
1718,58,0085,Hispanic,Race,41,22.3,54,29.3,48,26.1,31,16.8,10,5.4,52,35.9,27,18.6,46,31.7,16,11,4,2.8,18,23.4,16,20.8,19,24.7,16,20.8,8,10.4,6,8.3,13,18.1,44,61.1,8,11.1,1,1.4,89,48.4,43,55.8,66,45.5,53,73.6
1718,58,0090,Hispanic,Race,9,14.3,22,34.9,18,28.6,12,19,2,3.2,13,20.6,16,25.4,21,33.3,12,19,1,1.6,*,*,*,*,*,*,*,*,*,*,4,22.2,3,16.7,6,33.3,5,27.8,0,0,32,50.8,*,*,34,54,11,61.1
1718,58,0100,Hispanic,Race,2,4.9,8,19.5,19,46.3,9,22,3,7.3,1,2.4,11,26.8,16,39,11,26.8,2,4.9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,31,75.6,*,*,29,70.7,*,*
1718,58,0101,Hispanic,Race,15,16.7,30,33.3,23,25.6,17,18.9,5,5.6,15,16.7,26,28.9,27,30,17,18.9,5,5.6,*,*,*,*,*,*,*,*,*,*,4,12.5,9,28.1,10,31.3,4,12.5,5,15.6,45,50,*,*,49,54.4,19,59.4
1718,58,0102,Hispanic,Race,5,15.2,5,15.2,11,33.3,7,21.2,5,15.2,2,6.5,4,12.9,11,35.5,11,35.5,3,9.7,*,*,*,*,*,*,*,*,*,*,1,7.7,2,15.4,4,30.8,5,38.5,1,7.7,23,69.7,*,*,25,80.6,10,76.9
1718,58,0103,Hispanic,Race,14,17.1,27,32.9,20,24.4,16,19.5,5,6.1,12,16.4,18,24.7,19,26,17,23.3,7,9.6,1,5.3,3,15.8,5,26.3,7,36.8,3,15.8,2,6.9,6,20.7,16,55.2,3,10.3,2,6.9,41,50,15,78.9,43,58.9,21,72.4
1718,58,0106,Hispanic,Race,17,21,23,28.4,20,24.7,14,17.3,7,8.6,14,17.7,11,13.9,26,32.9,15,19,13,16.5,*,*,*,*,*,*,*,*,*,*,5,20,7,28,6,24,5,20,2,8,41,50.6,*,*,54,68.4,13,52
1718,58,0110,Hispanic,Race,2,13.3,5,33.3,3,20,1,6.7,4,26.7,1,7.1,4,28.6,2,14.3,5,35.7,2,14.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8,53.3,*,*,9,64.3,*,*
1718,58,0111,Hispanic,Race,41,21.4,55,28.6,43,22.4,38,19.8,15,7.8,27,13.6,38,19.1,59,29.6,42,21.1,33,16.6,8,12.1,18,27.3,19,28.8,12,18.2,9,13.6,15,20.5,27,37,18,24.7,8,11,5,6.8,96,50,40,60.6,134,67.3,31,42.5
1718,58,0113,Hispanic,Race,5,14.7,14,41.2,9,26.5,4,11.8,2,5.9,6,17.6,7,20.6,14,41.2,4,11.8,3,8.8,*,*,*,*,*,*,*,*,*,*,4,28.6,3,21.4,6,42.9,1,7.1,0,0,15,44.1,*,*,21,61.8,7,50
1718,58,0117,Hispanic,Race,5,38.5,2,15.4,2,15.4,3,23.1,1,7.7,1,9.1,3,27.3,2,18.2,2,18.2,3,27.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,46.2,*,*,7,63.6,*,*
1718,58,0121,Hispanic,Race,6,15,14,35,12,30,6,15,2,5,6,15,12,30,10,25,9,22.5,3,7.5,*,*,*,*,*,*,*,*,*,*,3,25,3,25,3,25,2,16.7,1,8.3,20,50,*,*,22,55,6,50
1718,58,0131,Hispanic,Race,10,8.8,31,27.2,40,35.1,26,22.8,7,6.1,9,7.9,21,18.4,37,32.5,30,26.3,17,14.9,*,*,*,*,*,*,*,*,*,*,8,20,8,20,13,32.5,3,7.5,8,20,73,64,*,*,84,73.7,24,60
1718,58,0141,Hispanic,Race,43,24,54,30.2,38,21.2,30,16.8,14,7.8,31,17.7,35,20,59,33.7,29,16.6,21,12,13,25,14,26.9,15,28.8,7,13.5,3,5.8,14,24.1,22,37.9,9,15.5,8,13.8,5,8.6,82,45.8,25,48.1,109,62.3,22,37.9
1718,58,0171,Hispanic,Race,7,9.2,20,26.3,28,36.8,13,17.1,8,10.5,6,7.9,10,13.2,26,34.2,20,26.3,14,18.4,*,*,*,*,*,*,*,*,*,*,3,10.7,8,28.6,9,32.1,2,7.1,6,21.4,49,64.5,*,*,60,78.9,17,60.7
1718,58,0181,Hispanic,Race,35,17.8,40,20.3,49,24.9,52,26.4,21,10.7,28,20.1,17,12.2,43,30.9,29,20.9,22,15.8,12,14.6,11,13.4,26,31.7,22,26.8,11,13.4,8,9.4,18,21.2,33,38.8,16,18.8,10,11.8,122,61.9,59,72,94,67.6,59,69.4
1718,58,0191,Hispanic,Race,4,8,10,20,12,24,17,34,7,14,3,6,9,18,15,30,16,32,7,14,*,*,*,*,*,*,*,*,*,*,2,9.5,5,23.8,8,38.1,2,9.5,4,19,36,72,*,*,38,76,14,66.7
1718,58,0201,Hispanic,Race,43,19.5,60,27.3,72,32.7,37,16.8,8,3.6,36,16.4,49,22.3,71,32.3,43,19.5,21,9.5,*,*,*,*,*,*,*,*,*,*,12,19.4,10,16.1,17,27.4,12,19.4,11,17.7,117,53.2,*,*,135,61.4,40,64.5
1718,58,0211,Hispanic,Race,5,15.6,7,21.9,15,46.9,3,9.4,2,6.3,2,6.3,4,12.5,18,56.3,5,15.6,3,9.4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,20,62.5,*,*,26,81.3,*,*
1718,58,0221,Hispanic,Race,8,8.8,26,28.6,29,31.9,14,15.4,14,15.4,5,7.5,5,7.5,30,44.8,17,25.4,10,14.9,2,5.4,2,5.4,9,24.3,11,29.7,13,35.1,0,0,9,26.5,12,35.3,7,20.6,6,17.6,57,62.6,33,89.2,57,85.1,25,73.5
1718,58,0261,Hispanic,Race,48,27.6,50,28.7,43,24.7,24,13.8,9,5.2,46,26.3,37,21.1,43,24.6,24,13.7,25,14.3,*,*,*,*,*,*,*,*,*,*,24,40,14,23.3,14,23.3,7,11.7,1,1.7,76,43.7,*,*,92,52.6,22,36.7
1718,58,0271,Hispanic,Race,10,13.3,21,28,27,36,11,14.7,6,8,12,16,19,25.3,22,29.3,11,14.7,11,14.7,*,*,*,*,*,*,*,*,*,*,7,25.9,6,22.2,8,29.6,5,18.5,1,3.7,44,58.7,*,*,44,58.7,14,51.9
1718,58,0291,Hispanic,Race,21,26.6,21,26.6,20,25.3,12,15.2,5,6.3,21,26.6,24,30.4,14,17.7,16,20.3,4,5.1,*,*,*,*,*,*,*,*,*,*,8,33.3,7,29.2,9,37.5,0,0,0,0,37,46.8,*,*,34,43,9,37.5
1718,58,0293,Hispanic,Race,5,25,10,50,4,20,1,5,0,0,10,33.3,14,46.7,4,13.3,2,6.7,0,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,25,*,*,6,20,*,*
1718,58,0294,Hispanic,Race,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0301,Hispanic,Race,4,5.4,14,18.9,26,35.1,15,20.3,15,20.3,2,2.7,7,9.6,20,27.4,28,38.4,16,21.9,*,*,*,*,*,*,*,*,*,*,1,3.6,5,17.9,12,42.9,5,17.9,5,17.9,56,75.7,*,*,64,87.7,22,78.6
1718,58,0381,Hispanic,Race,5,13.2,13,34.2,13,34.2,5,13.2,2,5.3,6,15.8,7,18.4,17,44.7,5,13.2,3,7.9,*,*,*,*,*,*,*,*,*,*,4,25,6,37.5,3,18.8,3,18.8,0,0,20,52.6,*,*,25,65.8,6,37.5
1718,58,0451,Hispanic,Race,16,21.9,24,32.9,13,17.8,12,16.4,8,11,10,13.7,13,17.8,20,27.4,19,26,11,15.1,2,11.8,1,5.9,7,41.2,3,17.6,4,23.5,2,10,6,30,6,30,4,20,2,10,33,45.2,14,82.4,50,68.5,12,60
1718,58,0461,Hispanic,Race,13,21.3,16,26.2,21,34.4,8,13.1,3,4.9,10,16.4,16,26.2,20,32.8,9,14.8,6,9.8,*,*,*,*,*,*,*,*,*,*,1,4.8,4,19,8,38.1,5,23.8,3,14.3,32,52.5,*,*,35,57.4,16,76.2
1718,58,0471,Hispanic,Race,4,10.3,5,12.8,15,38.5,8,20.5,7,17.9,3,7.7,3,7.7,7,17.9,12,30.8,14,35.9,*,*,*,*,*,*,*,*,*,*,1,8.3,1,8.3,3,25,2,16.7,5,41.7,30,76.9,*,*,33,84.6,10,83.3
1718,58,0491,Hispanic,Race,2,5.4,6,16.2,14,37.8,9,24.3,6,16.2,3,8.1,7,18.9,13,35.1,6,16.2,8,21.6,*,*,*,*,*,*,*,*,*,*,1,7.7,0,0,8,61.5,2,15.4,2,15.4,29,78.4,*,*,27,73,12,92.3
1718,58,0501,Hispanic,Race,13,25,21,40.4,12,23.1,5,9.6,1,1.9,17,32.7,12,23.1,13,25,7,13.5,3,5.8,*,*,*,*,*,*,*,*,*,*,4,30.8,2,15.4,5,38.5,0,0,2,15.4,18,34.6,*,*,23,44.2,7,53.8
1718,58,1211,Hispanic,Race,8,10.8,14,18.9,17,23,23,31.1,12,16.2,7,9.5,8,10.8,17,23,22,29.7,20,27,0,0,1,8.3,1,8.3,4,33.3,6,50,2,9.1,6,27.3,4,18.2,1,4.5,9,40.9,52,70.3,11,91.7,59,79.7,14,63.6
1718,58,1231,Hispanic,Race,13,20,14,21.5,17,26.2,13,20,8,12.3,12,18.5,12,18.5,17,26.2,13,20,11,16.9,*,*,*,*,*,*,*,*,*,*,6,26.1,7,30.4,5,21.7,4,17.4,1,4.3,38,58.5,*,*,41,63.1,10,43.5
1718,58,1241,Hispanic,Race,13,18.8,17,24.6,21,30.4,16,23.2,2,2.9,14,20.3,13,18.8,23,33.3,12,17.4,7,10.1,*,*,*,*,*,*,*,*,*,*,2,6.9,6,20.7,10,34.5,6,20.7,5,17.2,39,56.5,*,*,42,60.9,21,72.4
1718,58,1251,Hispanic,Race,27,16.4,39,23.6,50,30.3,37,22.4,12,7.3,28,20.7,23,17,57,42.2,19,14.1,8,5.9,11,14.3,16,20.8,26,33.8,14,18.2,10,13,11,12.8,16,18.6,40,46.5,14,16.3,5,5.8,99,60,50,64.9,84,62.2,59,68.6
1718,58,1261,Hispanic,Race,29,20,41,28.3,24,16.6,33,22.8,18,12.4,19,13,24,16.4,38,26,34,23.3,31,21.2,5,11.1,7,15.6,13,28.9,10,22.2,10,22.2,11,23.9,15,32.6,8,17.4,5,10.9,7,15.2,75,51.7,33,73.3,103,70.5,20,43.5
1718,58,1271,Hispanic,Race,5,10,10,20,16,32,13,26,6,12,6,12,10,20,14,28,12,24,8,16,*,*,*,*,*,*,*,*,*,*,0,0,3,23.1,4,30.8,3,23.1,3,23.1,35,70,*,*,34,68,10,76.9
1718,58,1282,Hispanic,Race,3,7.9,4,10.5,13,34.2,14,36.8,4,10.5,1,2.6,5,13.2,11,28.9,10,26.3,11,28.9,*,*,*,*,*,*,*,*,*,*,2,14.3,6,42.9,4,28.6,2,14.3,0,0,31,81.6,*,*,32,84.2,6,42.9
1718,58,1291,Hispanic,Race,33,22.3,30,20.3,39,26.4,29,19.6,17,11.5,21,14.3,34,23.1,39,26.5,28,19,25,17,5,11.9,3,7.1,17,40.5,6,14.3,11,26.2,8,16,15,30,15,30,6,12,6,12,85,57.4,34,81,92,62.6,27,54
1718,58,1341,Hispanic,Race,8,10.8,17,23,26,35.1,16,21.6,7,9.5,13,17.1,12,15.8,23,30.3,14,18.4,14,18.4,*,*,*,*,*,*,*,*,*,*,2,8.7,7,30.4,5,21.7,4,17.4,5,21.7,49,66.2,*,*,51,67.1,14,60.9
1718,58,1391,Hispanic,Race,0,0,9,17.6,15,29.4,19,37.3,8,15.7,1,2.5,4,10,20,50,10,25,5,12.5,1,2.9,3,8.8,8,23.5,7,20.6,15,44.1,0,0,2,6.9,16,55.2,3,10.3,8,27.6,42,82.4,30,88.2,35,87.5,27,93.1
1718,58,0000,Foster,Subgroups,31,28.4,27,24.8,30,27.5,16,14.7,5,4.6,31,28.4,21,19.3,35,32.1,15,13.8,7,6.4,2,14.3,5,35.7,1,7.1,3,21.4,3,21.4,8,28.6,9,32.1,8,28.6,2,7.1,1,3.6,51,46.8,7,50,57,52.3,11,39.3
1718,58,0012,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0031,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0051,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0071,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0074,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0081,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0084,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0085,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0090,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0101,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0103,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0106,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0111,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0113,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0117,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0121,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0131,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0141,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0171,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0181,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0191,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0201,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0221,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0261,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0271,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0291,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0293,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0294,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0301,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0381,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0451,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0461,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0471,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0491,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0501,Foster,Subgroups,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
