District,School,prop
05,6554,0.0759493670886076
05,7004,0.0783132530120482
06,0011,0.20918367346938777
06,0021,0.1345083487940631
06,0031,0.17412935323383086
06,0041,0.13550135501355012
06,0101,0.3093220338983051
06,0111,0.16201859229747675
06,0121,0.2054794520547945
06,0131,0.13702074167190445
06,0151,0.11921708185053381
06,0161,0.21389396709323583
06,0171,0.10319516407599309
06,0185,0.014950166112956811
06,0191,0.1993517017828201
06,0201,0.300531914893617
06,0211,0.11119030648610122
06,0221,0.18628719275549807
06,0231,0.15072463768115943
06,0241,0.14693088448525857
06,0251,0.13273676360924683
06,0271,0.1353558926487748
06,0321,0.16769420468557336
06,0331,0.17567567567567569
06,0341,0.1258426966292135
06,0343,0.15632754342431762
06,0361,0.09823182711198428
06,0371,0.11514614703277236
06,0391,0.10935023771790808
06,0403,0.12246553122465531
06,0405,0.16091954022988506
06,0452,0.16034985422740525
06,0461,0.2589118198874296
06,0471,0.17593984962406015
06,0481,0.15074024226110364
06,0491,0.14228456913827656
06,0501,0.09207161125319693
06,0511,0.17962962962962964
06,0521,0.13048498845265588
06,0531,0.15806451612903225
06,0551,0.1326676176890157
06,0561,0.23741935483870968
06,0571,0.13513513513513514
06,0581,0.16515276630883569
06,0601,0.13839285714285715
06,0611,0.14087759815242495
06,0621,0.16745283018867924
06,0631,0.17582417582417584
06,0641,0.10880829015544041
06,0691,0.17298187808896212
06,0701,0.11223118279569892
06,0711,0.10586552217453506
06,0721,0.2586750788643533
06,0731,0.21414342629482072
06,0751,0.2003968253968254
06,0761,0.2387005649717514
06,0811,0.15099009900990099
06,0831,0.20081967213114754
06,0841,0.12680577849117175
06,0851,0.18375499334221038
06,0861,0.18497109826589594
06,0871,1.0
06,0881,0.142049025769956
06,0891,0.1360153256704981
06,0901,0.195578231292517
06,0911,0.17261904761904762
06,0921,0.2237037037037037
06,0931,0.21655172413793103
06,0941,0.15479876160990713
06,0951,0.09423347398030943
06,0971,0.20833333333333334
06,0991,0.8918918918918919
06,1021,1.0
06,1051,0.10582010582010581
06,1071,0.12926577042399173
06,1091,0.2074074074074074
06,1131,0.11183144246353323
06,1151,0.12095339736748488
06,1161,0.19257086999022482
06,1171,0.13344594594594594
06,1191,0.10022779043280182
06,1211,0.1395973154362416
06,1221,0.16271186440677965
06,1241,0.13456937799043062
06,1251,0.20702402957486138
06,1271,0.08062418725617686
06,1281,0.08280828082808281
06,1282,0.1484375
06,1291,0.09256198347107437
06,1311,0.11996904024767802
06,1321,0.18641618497109827
06,1381,0.2168141592920354
06,1391,0.14351851851851852
