District Name,School Name,Lat,Long,Charter Count,Other Count,Charter Total,Other Total
MIAMI-DADE,SOMERSET ACADEMY CHARTER HIGH SCHOOL (SOUTH HOMESTEAD),25.47246,-80.47135,34,0,408,123
MIAMI-DADE,SOMERSET ACADEMY CHARTER MIDDLE SCHOOL SOUTH MIAMI CAMPUS,25.70773,-80.28925,0,244,200,3746
MIAMI-DADE,SOMERSET ACADEMY KENDALL,25.67798,-80.36878,0,146,59,2598
MIAMI-DADE,SOMERSET ARTS ACADEMY,25.48579,-80.47810,22,446,405,3233
MIAMI-DADE,SOMERSET GABLES ACADEMY,25.74149,-80.26728,20,586,473,7199
MIAMI-DADE,SOMERSET OAKS ACADEMY,25.48065,-80.46619,59,593,575,3508
MIAMI-DADE,SOMERSET PALMS ACADEMY,25.70370,-80.29707,0,475,96,4916
MIAMI-DADE,SOMERSET PREPARATORY ACADEMY SUNSET,25.66613,-80.37553,18,271,330,3171
MIAMI-DADE,SOUTH FLORIDA AUTISM CHARTER SCHOOL INC,25.93963,-80.32256,229,503,229,4613
MIAMI-DADE,SPORTS LEADERSHIP AND MANAGEMENT (SLAM) MIDDLE SCHOOL - NORTH CAMPUS,25.89620,-80.24510,10,0,269,124
MIAMI-DADE,STELLAR LEADERSHIP ACADEMY,25.84810,-80.24350,44,968,275,8242
MIAMI-DADE,THE SEED SCHOOL OF MIAMI,25.94299,-80.20353,24,220,265,2755
MIAMI-DADE,THEODORE R. AND THELMA A. GIBSON CHARTER SCHOOL,25.79102,-80.20412,10,192,154,1324
MIAMI-DADE,TRUE NORTH CLASSICAL ACADEMY,25.70188,-80.34614,15,887,336,5201
MIAMI-DADE,YOUTH CO-OP CHARTER SCHOOL,25.89336,-80.32551,23,586,953,4393
DUVAL,BISCAYNE HIGH SCHOOL,30.43276,-81.67591,27,2244,204,14563
DUVAL,BRIDGEPREP ACADEMY DUVAL COUNTY,30.31242,-81.59337,53,677,459,4505
DUVAL,DUVAL CHARTER SCHOLARS ACADEMY,30.31227,-81.57521,77,233,583,1147
DUVAL,DUVAL CHARTER SCHOOL AT COASTAL,30.28713,-81.48001,111,2561,887,13737
DUVAL,DUVAL CHARTER SCHOOL AT FLAGLER CENTER,30.14123,-81.52009,91,2491,880,20991
DUVAL,DUVAL CHARTER SCHOOL AT MANDARIN,30.19338,-81.57974,83,357,904,2428
DUVAL,DUVAL CHARTER SCHOOL AT SOUTHSIDE,30.24558,-81.55371,110,608,921,4828
DUVAL,DUVAL CHARTER SCHOOL AT WESTSIDE,30.24759,-81.80882,100,1269,988,6825
DUVAL,DUVAL MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES,30.29217,-81.77344,41,813,243,4332
DUVAL,GLOBAL OUTREACH CHARTER ACADEMY,30.32540,-81.54866,64,145,820,1023
DUVAL,KIPP VOICE / KIPP IMPACT K-8,30.34269,-81.70605,142,948,1176,6561
DUVAL,LONE STAR HIGH SCHOOL,30.33706,-81.57236,31,909,266,5060
DUVAL,RIVER CITY SCIENCE ACADEMY,30.28942,-81.58035,48,154,920,565
DUVAL,RIVER CITY SCIENCE ACADEMY AT MANDARIN,30.17656,-81.60403,79,854,846,5844
DUVAL,RIVER CITY SCIENCE ELEMENTARY ACADEMY,30.28771,-81.58138,31,605,506,4212
DUVAL,SAN JOSE ACADEMY,30.20456,-81.61011,23,129,111,842
DUVAL,"SCHOOL FOR ACCELERATED LEARNING AND TECHNOLOGIES, INC",30.36943,-81.67535,30,1204,246,10785
DUVAL,SCHOOL OF SUCCESS ACADEMY-SOS,30.26882,-81.75906,25,1244,165,6667
DUVAL,SEASIDE CHARTER K-8 SCHOOL,30.36930,-81.41085,88,1543,466,10006
DUVAL,SEASIDE COMMUNITY CHARTER SCHOOL,30.22125,-81.61485,36,408,224,3573
DUVAL,"SOMERSET ACADEMY-ELEMENTARY, EAGLE CAMPUS",30.33935,-81.55820,0,234,63,1147
DUVAL,"SOMERSET ACADEMY-MIDDLE, EAGLE CAMPUS",30.41786,-81.66441,15,566,127,3643
DUVAL,TIGER ACADEMY,30.37440,-81.71914,29,1108,239,6745
DUVAL,WAVERLY ACADEMY,30.24427,-81.73875,11,845,100,4314
DUVAL,WAYMAN ACADEMY OF THE ARTS,30.30437,-81.73227,33,907,281,5372
ESCAMBIA,BEULAH ACADEMY OF SCIENCE,30.53083,-87.38234,24,2598,288,16627
ESCAMBIA,"BYRNEVILLE ELEMENTARY SCHOOL, INC.",30.96435,-87.32644,13,368,195,2809
ESCAMBIA,JACKIE HARRIS PREPARATORY ACADEMY,30.43158,-87.20051,19,2984,232,20515
ESCAMBIA,"PENSACOLA BEACH ELEMENTARY SCHOOL, INC",30.33735,-87.11510,0,872,147,7478
FLAGLER,IMAGINE SCHOOL AT TOWN CENTER,29.48850,-81.19801,113,1869,887,12035
FRANKLIN,APALACHICOLA BAY CHARTER SCHOOL,29.72188,-84.99054,63,385,353,2049
GADSDEN,CROSSROAD ACADEMY,30.56349,-84.56122,18,1762,527,10648
GLADES,"PEMAYETV EMAHAKV CHARTER ""OUR WAY SCHOOL""",26.99966,-81.06807,75,1903,197,10053
HERNANDO,"BROOKSVILLE ENGINEERING, SCIENCE AND TECHNOLOGY (B.E.S.T.) ACADEMY",28.54350,-82.37925,0,1171,113,8001
HERNANDO,GULF COAST ACADEMY OF SCIENCE AND TECHNOLOGY,28.48990,-82.54619,12,2810,236,19241
HILLSBOROUGH,ADVANTAGE ACADEMY OF HILLSBOROUGH,28.00150,-82.12420,38,2238,461,13368
HILLSBOROUGH,AVANT GARDE ACADEMY WESTCHASE,28.07466,-82.58082,44,991,395,8534
HILLSBOROUGH,BELL CREEK ACADEMY,27.85239,-82.27247,29,125,656,861
HILLSBOROUGH,BRIDGEPREP ACADEMY OF RIVERVIEW,27.89317,-82.33844,97,406,883,2249
HILLSBOROUGH,BRIDGEPREP ACADEMY OF TAMPA,27.93680,-82.48458,34,2038,349,16642
HILLSBOROUGH,BROOKS DEBARTOLO COLLEGIATE HIGH SCHOOL,28.04867,-82.45576,31,263,609,1684
