District,School,School Name,prop,funds
05,5021,FREEDOM 7 ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES,0.09043927648578812,7433
05,5031,CAPE VIEW ELEMENTARY SCHOOL,0.19210526315789472,10065
05,6011,SATELLITE SENIOR HIGH SCHOOL,0.10625470987189148,8044
05,6012,DELAURA MIDDLE SCHOOL,0.11477411477411477,6745
05,6013,SPESSARD L. HOLLAND ELEMENTARY SCHOOL,0.19517102615694165,8374
05,6051,SEA PARK ELEMENTARY SCHOOL,0.18691588785046728,9606
05,6061,SURFSIDE ELEMENTARY SCHOOL,0.13695652173913042,7630
05,6071,OCEAN BREEZE ELEMENTARY SCHOOL,0.18984962406015038,8687
05,6081,INDIALANTIC ELEMENTARY SCHOOL,0.16891891891891891,7398
05,6082,HERBERT C. HOOVER MIDDLE SCHOOL,0.1541501976284585,8269
05,6101,GEMINI ELEMENTARY SCHOOL,0.19017094017094016,8604
05,6141,DR. W.J. CREEL ELEMENTARY SCHOOL,0.2106508875739645,9876
05,7004,BREVARD VIRTUAL FRANCHISE,0.0783132530120482,7867
06,0011,DEERFIELD BEACH ELEMENTARY SCHOOL,0.20918367346938777,9846
06,0021,POMPANO BEACH MIDDLE SCHOOL,0.1345083487940631,8767
06,0031,OAKLAND PARK ELEMENTARY SCHOOL,0.17412935323383086,10051
06,0041,NORTH SIDE ELEMENTARY SCHOOL,0.13550135501355012,11161
06,0101,DANIA ELEMENTARY SCHOOL,0.3093220338983051,12177
06,0111,HOLLYWOOD HILLS ELEMENTARY SCHOOL,0.16201859229747675,8007
06,0121,HOLLYWOOD CENTRAL ELEMENTARY SCHOOL,0.2054794520547945,11132
06,0131,GULFSTREAM ACADEMY OF HALLANDALE BEACH,0.13702074167190445,8541
06,0151,RIVERLAND ELEMENTARY SCHOOL,0.11921708185053381,10074
06,0161,WEST HOLLYWOOD ELEMENTARY SCHOOL,0.21389396709323583,10539
06,0171,SOUTH BROWARD HIGH SCHOOL,0.10319516407599309,7383
06,0185,POMPANO BEACH HIGH SCHOOL,0.014950166112956811,8341
06,0191,WILTON MANORS ELEMENTARY SCHOOL,0.1993517017828201,9914
06,0201,BENNETT ELEMENTARY SCHOOL,0.300531914893617,12703
06,0211,STRANAHAN HIGH SCHOOL,0.11119030648610122,8499
06,0221,CROISSANT PARK ELEMENTARY SCHOOL,0.18628719275549807,9663
06,0231,COLBERT ELEMENTARY SCHOOL,0.15072463768115943,10636
06,0241,MCARTHUR HIGH SCHOOL,0.14693088448525857,7140
06,0251,SUNRISE MIDDLE SCHOOL,0.13273676360924683,7186
06,0271,DILLARD ELEMENTARY SCHOOL,0.1353558926487748,9161
06,0321,WALKER ELEMENTARY SCHOOL,0.16769420468557336,10457
06,0331,COLLINS ELEMENTARY SCHOOL,0.17567567567567569
