District Name,School Name,Lat,Long,Total Students,Total SWD,e,s,m,sc,te,ts,tm,tsc
HIGHLANDS,LAKE PLACID MIDDLE SCHOOL,27.29579,-81.37205,667,98,14,9,16,6,231,107,279,66
HIGHLANDS,SEBRING HIGH SCHOOL,27.48780,-81.43127,1597,173,14,9,26,8,404,178,213,212
HIGHLANDS,SEBRING MIDDLE SCHOOL,27.49787,-81.43713,779,116,11,7,25,2,338,122,409,102
HILLSBOROUGH,ADAMS MIDDLE SCHOOL,28.04206,-82.46566,846,143,14,8,17,7,190,85,225,60
HILLSBOROUGH,ALONSO HIGH SCHOOL,28.02155,-82.60413,2582,303,22,31,29,8,643,436,343,223
HILLSBOROUGH,ARMWOOD HIGH SCHOOL,28.00561,-82.29540,2205,338,23,32,18,20,435,353,189,260
HILLSBOROUGH,BARRINGTON MIDDLE SCHOOL,27.84865,-82.25741,1519,190,50,45,67,10,938,425,1086,250
HILLSBOROUGH,BENITO MIDDLE SCHOOL,28.14098,-82.32455,1082,125,21,28,30,7,632,303,654,204
HILLSBOROUGH,BLAKE HIGH SCHOOL,27.95832,-82.46648,1747,218,14,24,17,17,452,225,231,262
HILLSBOROUGH,BLOOMINGDALE HIGH SCHOOL,27.89490,-82.25528,2334,265,32,22,33,29,653,447,402,373
HILLSBOROUGH,BRANDON HIGH SCHOOL,27.94396,-82.29973,1875,305,19,21,12,10,351,295,174,179
HILLSBOROUGH,BUCHANAN MIDDLE SCHOOL,28.09000,-82.46888,708,147,19,10,30,10,214,91,273,93
HILLSBOROUGH,BURNETT MIDDLE SCHOOL,28.00755,-82.27985,795,184,21,16,21,6,245,128,226,68
HILLSBOROUGH,BURNS MIDDLE SCHOOL,27.90732,-82.27435,1316,168,49,26,63,24,747,373,842,266
HILLSBOROUGH,CHAMBERLAIN HIGH SCHOOL,28.03462,-82.46686,1597,313,23,28,33,18,179,195,192,120
HILLSBOROUGH,COLEMAN MIDDLE SCHOOL,27.92734,-82.51742,1041,100,45,14,49,17,819,299,856,246
HILLSBOROUGH,DAVIDSEN MIDDLE SCHOOL,28.05393,-82.59641,1096,164,28,16,29,9,560,205,600,166
HILLSBOROUGH,DOWDELL MIDDLE MAGNET SCHOOL,27.93696,-82.37146,637,105,7,3,8,2,161,97,195,36
HILLSBOROUGH,DR CARTER G WOODSON K-8 SCHOOL,28.03119,-82.43385,984,207,25,10,36,5,155,34,180,39
HILLSBOROUGH,DURANT HIGH SCHOOL,27.88860,-82.17256,2398,354,32,31,40,42,654,402,406,421
HILLSBOROUGH,EAST BAY HIGH SCHOOL,27.79358,-82.36316,2256,300,35,32,28,14,428,356,299,278
HILLSBOROUGH,EISENHOWER MIDDLE SCHOOL,27.79314,-82.36767,1292,237,35,20,35,9,505,238,584,185
HILLSBOROUGH,FARNELL MIDDLE SCHOOL,28.07236,-82.63506,1232,102,33,20,37,4,913,363,938,286
HILLSBOROUGH,FERRELL MIDDLE MAGNET SCHOOL,27.98415,-82.43320,596,55,8,6,15,2,289,149,338,60
HILLSBOROUGH,FRANKLIN MIDDLE MAGNET SCHOOL,27.96946,-82.41615,564,111,28,18,30,8,242,142,255,70
HILLSBOROUGH,FREEDOM HIGH SCHOOL,28.13406,-82.38564,1935,268,20,24,26,10,399,232,246,149
HILLSBOROUGH,GAITHER HIGH SCHOOL,28.10132,-82.50510,2037,279,30,29,30,29,478,319,298,303
HILLSBOROUGH,GIUNTA MIDDLE SCHOOL,27.91048,-82.35800,824,174,32,18,24,13,175,97,179,54
HILLSBOROUGH,GRECO MIDDLE SCHOOL,28.05243,-82.37552,621,103,14,6,12,4,160,62,160,55
HILLSBOROUGH,HILL MIDDLE SCHOOL,28.08349,-82.53655,999,148,22,30,28,4,551,259,607,169
HILLSBOROUGH,HILLSBOROUGH HIGH SCHOOL,27.99048,-82.45653,1900,219,8,13,11,9,418,239,259,250
HILLSBOROUGH,JEFFERSON HIGH SCHOOL,27.95229,-82.51800,1775,205,10,20,22,14,381,263,240,264
HILLSBOROUGH,JENNINGS MIDDLE SCHOOL,28.02611,-82.32715,823,167,17,9,22,7,163,85,189,53
HILLSBOROUGH,KING HIGH SCHOOL,28.00919,-82.39063,1841,263,16,28,15,14,383,286,146,248
